Nom,Début,Fin,Lieu,Description
Expression Culture Comm pro - Outils info,2021-09-28 12:00:00+00:00,2021-09-28 16:00:00+00:00,GC-ISAT R12 Info grande,"

RT1Huffman
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-01 07:15:00+00:00,2022-02-01 09:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-15 09:15:00+00:00,2021-11-15 11:15:00+00:00,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-19 13:00:00+00:00,2022-01-19 17:00:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Anglais général,2021-11-10 09:15:00+00:00,2021-11-10 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
RT1Shannon2
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-22 12:00:00+00:00,2021-09-22 16:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-10-05 12:00:00+00:00,2021-10-05 16:00:00+00:00,RT-Labo reseaux 1,"

RT1Turing
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Applications informatiques,2021-11-15 13:00:00+00:00,2021-11-15 17:00:00+00:00,RT-Labo Informatique 3,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Arcitecture 3-Tier,2022-02-10 07:15:00+00:00,2022-02-10 11:00:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-12-17 14:30:00+00:00,2021-12-17 16:30:00+00:00,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-15 15:00:00+00:00,2021-11-15 17:00:00+00:00,RT-Salle-TD1,"

TDBell
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-07 12:00:00+00:00,2021-09-07 14:00:00+00:00,RT-Salle-TD3,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-11 07:15:00+00:00,2022-01-11 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Analyse et traitement de données structurées,2022-02-16 07:15:00+00:00,2022-02-16 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Turing
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais Technique,2022-01-26 07:15:00+00:00,2022-01-26 09:15:00+00:00,RT-Salle-TD1,"

TDBell
TDBell
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-10 06:15:00+00:00,2021-09-10 08:15:00+00:00,RT-Salle-TD3,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
DS TP Scripts avancés,2021-10-27 06:15:00+00:00,2021-10-27 08:15:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-22 12:00:00+00:00,2021-09-22 14:00:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-08 09:15:00+00:00,2022-02-08 11:15:00+00:00,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-09-21 08:15:00+00:00,2021-09-21 10:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-30 07:15:00+00:00,2021-09-30 10:15:00+00:00,RT-Labo Telecoms 2,"

RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-20 12:30:00+00:00,2022-01-20 14:30:00+00:00,RT-Salle-TD2,"

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-10-15 11:30:00+00:00,2021-10-15 13:30:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fi,2021-11-26 12:30:00+00:00,2021-11-26 14:30:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Fibres optiques,2021-11-25 07:15:00+00:00,2021-11-25 09:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-21 11:30:00+00:00,2021-10-21 15:30:00+00:00,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-13 07:15:00+00:00,2021-12-13 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
EXAMEN CISCO,2022-01-17 07:15:00+00:00,2022-01-17 09:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Anglais,2021-09-07 06:15:00+00:00,2021-09-07 08:15:00+00:00,RT-Salle-TD3,"

RT2App
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Anglais,2021-11-16 13:00:00+00:00,2021-11-16 15:00:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-20 07:15:00+00:00,2022-01-20 11:15:00+00:00,RT-Labo Informatique 3,"

RT1App
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-22 07:15:00+00:00,2021-10-22 10:15:00+00:00,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2022-01-04 12:30:00+00:00,2022-01-04 14:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-11 09:15:00+00:00,2022-01-11 11:15:00+00:00,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-03 13:00:00+00:00,2022-01-03 17:00:00+00:00,RT-Labo reseaux 2,"

RT1Turing
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
DS Réseaux opérateurs SM,2021-11-19 09:15:00+00:00,2021-11-19 11:15:00+00:00,RT-Amphi,"

RT2Dijkstra
RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Soutenances LP Cybersécurité,2021-09-10 06:00:00+00:00,2021-09-10 16:00:00+00:00,RT-Salle-TD4,"

LP-CyberSécurité
NECTOUX ANTOINE
MANSOURI ALAMIN
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-11-30 07:15:00+00:00,2021-11-30 11:15:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-15 13:00:00+00:00,2021-11-15 15:00:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-09 12:30:00+00:00,2021-12-09 14:30:00+00:00,"TEAMS,RT-Labo Informatique 2","

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-02 07:15:00+00:00,2022-02-02 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-11-10 09:15:00+00:00,2021-11-10 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
PortFolio - CISCO,2021-09-21 14:00:00+00:00,2021-09-21 15:00:00+00:00,RT-Labo Informatique 1,"

RT1App
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-15 07:15:00+00:00,2022-02-15 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
DS Electromagnétisme,2021-12-08 13:00:00+00:00,2021-12-08 15:00:00+00:00,RT-Salle-TD1,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
BDD : ADMINISTRATION,2021-12-08 12:30:00+00:00,2021-12-08 16:15:00+00:00,RT-Labo Informatique 1,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
"
Réseaux WLAN,2021-12-15 07:15:00+00:00,2021-12-15 11:00:00+00:00,RT-Labo Informatique 1,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
"
Administration Active Directory,2022-01-14 12:30:00+00:00,2022-01-14 16:15:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-12 07:15:00+00:00,2022-01-12 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-11-09 13:00:00+00:00,2021-11-09 17:00:00+00:00,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-12 08:15:00+00:00,2021-10-12 10:15:00+00:00,RT-Salle-TD1,"

TDBell
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
TP Hacking éthique,2021-11-18 07:15:00+00:00,2021-11-18 09:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-04 14:00:00+00:00,2021-10-04 16:00:00+00:00,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-11-17 15:00:00+00:00,2021-11-17 17:00:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-30 08:15:00+00:00,2021-09-30 10:15:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Administration système,2022-01-24 09:15:00+00:00,2022-01-24 11:15:00+00:00,RT-Amphi,"

TDBell
TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-04 13:00:00+00:00,2022-01-04 17:00:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-14 07:15:00+00:00,2022-02-14 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2022-01-07 12:30:00+00:00,2022-01-07 14:30:00+00:00,RT-Salle-TD1,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
PPP,2021-11-29 13:00:00+00:00,2021-11-29 15:00:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Programmation appareils CISCO,2021-11-16 07:15:00+00:00,2021-11-16 11:00:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-12-06 13:00:00+00:00,2021-12-06 15:00:00+00:00,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-07 14:00:00+00:00,2021-09-07 16:00:00+00:00,"RT-Salle-TD2,RT-Labo Informatique 3","

TDFourier
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-10-01 11:30:00+00:00,2021-10-01 13:30:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-16 08:15:00+00:00,2021-09-16 10:15:00+00:00,RT-Salle-TD3,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Réseaux WLAN,2021-11-15 12:30:00+00:00,2021-11-15 16:15:00+00:00,RT-Labo Informatique 1,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
"
Anglais général,2021-09-29 06:15:00+00:00,2021-09-29 08:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2021-12-09 12:30:00+00:00,2021-12-09 14:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2021-12-07 09:15:00+00:00,2021-12-07 11:15:00+00:00,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-29 12:00:00+00:00,2021-09-29 16:00:00+00:00,RT-Labo Informatique 3,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2021-12-16 08:15:00+00:00,2021-12-16 11:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-01 09:15:00+00:00,2022-02-01 11:15:00+00:00,RT-Salle-TD2,"

RT1Turing
RT1Shannon1
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-10-20 06:15:00+00:00,2021-10-20 08:15:00+00:00,RT-Labo Informatique 1,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-09-09 06:15:00+00:00,2021-09-09 08:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-17 07:15:00+00:00,2021-12-17 11:15:00+00:00,RT-Labo reseaux 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
DS TP Electronique,2021-12-06 13:00:00+00:00,2021-12-06 16:00:00+00:00,RT-Labo Electronique 1,"

RT1Turing
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-11-23 15:00:00+00:00,2021-11-23 17:00:00+00:00,RT-Labo Informatique 3,"

RT2App
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Gestion d'annuaires unifiés,2021-11-08 09:15:00+00:00,2021-11-08 11:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
Anglais - R. PUGH,2022-01-13 12:30:00+00:00,2022-01-13 16:15:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
(Exported :05/01/2022 11:04)
"
Visite Orange - Fibre Optique,2021-10-12 07:15:00+00:00,2021-10-12 10:15:00+00:00,,"

RT2App
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-12-03 07:15:00+00:00,2021-12-03 11:15:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-11 13:00:00+00:00,2022-01-11 15:00:00+00:00,RT-Salle Labo Visio,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-09-27 14:00:00+00:00,2021-09-27 16:00:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-12-08 15:00:00+00:00,2021-12-08 17:00:00+00:00,RT-Salle Labo Visio,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-03 09:15:00+00:00,2021-12-03 11:15:00+00:00,RT-Salle-TD3,"

RT2App
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-09 06:15:00+00:00,2021-09-09 08:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-12-10 12:30:00+00:00,2021-12-10 16:30:00+00:00,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-06 12:00:00+00:00,2021-09-06 14:00:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-13 13:00:00+00:00,2022-01-13 17:00:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
CISCO,2021-12-07 07:15:00+00:00,2021-12-07 09:15:00+00:00,RT-Labo Informatique 1,"

RT2App
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-09-20 06:15:00+00:00,2021-09-20 10:15:00+00:00,GC-ISAT R10 Info petite,"

RT1Turing
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
DS TP Infrastructure sans fil,2021-12-07 14:30:00+00:00,2021-12-07 16:00:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-13 13:00:00+00:00,2021-12-13 17:00:00+00:00,RT-Labo reseaux 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Communication,2021-12-08 07:15:00+00:00,2021-12-08 09:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-10-18 07:15:00+00:00,2021-10-18 10:15:00+00:00,RT-Labo Telecoms 2,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-11-17 09:15:00+00:00,2021-11-17 11:15:00+00:00,RT-Salle-TD3,"

RT1Shannon2
RT1Shannon1
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Sources de données,2022-02-11 12:30:00+00:00,2022-02-11 16:30:00+00:00,RT-Labo Informatique 2,"

RT1Turing
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-10-01 08:15:00+00:00,2021-10-01 10:15:00+00:00,GC-ISAT R12 Info grande,"

RT1Shannon2
RT1Shannon1
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-19 08:15:00+00:00,2021-10-19 10:15:00+00:00,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-23 11:30:00+00:00,2021-09-23 15:30:00+00:00,RT-Labo reseaux 1,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-08 06:15:00+00:00,2021-09-08 08:15:00+00:00,RT-Labo Informatique 2,"

RT2App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2021-11-19 07:15:00+00:00,2021-11-19 09:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
TP Cryptographie,2021-12-16 12:30:00+00:00,2021-12-16 14:30:00+00:00,RT-Salle-TD1,"

LP-CyberSécurité
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-15 13:00:00+00:00,2021-12-15 17:00:00+00:00,RT-Labo reseaux 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-14 13:00:00+00:00,2022-02-14 17:00:00+00:00,RT-Labo reseaux 1,"

RT1Huffman
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Electronique,2021-12-09 15:00:00+00:00,2021-12-09 17:00:00+00:00,RT-Salle Labo Visio,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-11 09:15:00+00:00,2022-02-11 11:15:00+00:00,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-14 13:00:00+00:00,2021-12-14 17:00:00+00:00,RT-Labo Informatique 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-05 06:15:00+00:00,2021-10-05 08:15:00+00:00,"RT-Labo Informatique 3,RT-Labo Informatique 2","

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Visite Orange - Cuivre,2021-10-13 07:00:00+00:00,2021-10-13 10:00:00+00:00,,"

RT2Hamming
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
DS Initiation réseaux,2021-10-15 08:15:00+00:00,2021-10-15 10:15:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Communication,2022-01-05 07:15:00+00:00,2022-01-05 09:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-01-31 09:15:00+00:00,2022-01-31 11:15:00+00:00,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-10-06 12:00:00+00:00,2021-10-06 16:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-16 11:30:00+00:00,2021-09-16 13:30:00+00:00,RT-Labo Informatique 1,"

RT2App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-10-11 08:15:00+00:00,2021-10-11 10:15:00+00:00,RT-Labo Informatique 1,"

TDFourier
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Administration système,2021-10-27 14:00:00+00:00,2021-10-27 16:00:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
PPP,2021-12-07 13:00:00+00:00,2021-12-07 15:00:00+00:00,RT-Labo Informatique 1,"

RT2App
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-13 07:15:00+00:00,2022-01-13 11:15:00+00:00,RT-Labo Electronique 1,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Sources de données,2022-02-16 13:00:00+00:00,2022-02-16 17:00:00+00:00,RT-Labo Informatique 1,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2022-01-11 14:30:00+00:00,2022-01-11 16:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-09-20 14:00:00+00:00,2021-09-20 16:00:00+00:00,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-26 12:00:00+00:00,2021-10-26 15:00:00+00:00,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-12 14:00:00+00:00,2021-10-12 16:00:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-10-06 06:15:00+00:00,2021-10-06 08:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-10-05 12:00:00+00:00,2021-10-05 14:00:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-07 09:15:00+00:00,2022-02-07 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Forum poursuite d'étude,2022-01-17 13:00:00+00:00,2022-01-17 16:00:00+00:00,"RT-Salle-TD4,RT-Salle-TD2,RT-Salle-TD3,RT-Labo Informatique 1,RT-Labo Informatique 2,RT-Labo Informatique 3,RT-Salle-TD1,RT-Amphi","

RT1-S1
RT2-S3
RT1App
RT2App
RT1-S2
RT2-S4
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-21 12:30:00+00:00,2022-01-21 15:30:00+00:00,RT-Labo Telecoms 2,"

RT1Turing
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-29 11:30:00+00:00,2021-10-29 15:30:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Rentrée RT1 APP,2021-09-20 08:30:00+00:00,2021-09-20 09:30:00+00:00,RT-Salle Labo Visio,"

RT1App
Réunion/Evènement
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-07 08:15:00+00:00,2022-01-07 11:15:00+00:00,RT-Labo Telecoms 2,"

RT1Turing
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-09-23 08:15:00+00:00,2021-09-23 10:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-11-23 07:15:00+00:00,2021-11-23 11:15:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Sources de données,2022-01-24 13:00:00+00:00,2022-01-24 15:00:00+00:00,RT-Amphi,"

RT1-S2
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-10-04 08:15:00+00:00,2021-10-04 10:15:00+00:00,RT-Labo Informatique 2,"

TDBell
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-10 12:30:00+00:00,2021-12-10 16:30:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
DS Electronique,2021-12-10 09:15:00+00:00,2021-12-10 11:15:00+00:00,RT-Amphi,"

RT1-S1
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-11 13:00:00+00:00,2022-01-11 17:00:00+00:00,RT-Labo Informatique 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
