Nom,Début,Fin,Lieu,Description
Fondamentaux de la programmation,2021-11-08 13:00:00+00:00,2021-11-08 15:00:00+00:00,RT-Labo Informatique 3,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-10-28 08:15:00+00:00,2021-10-28 10:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-20 14:00:00+00:00,2021-10-20 16:00:00+00:00,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-06 12:30:00+00:00,2022-01-06 15:30:00+00:00,RT-Labo Telecoms 2,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-10-11 06:15:00+00:00,2021-10-11 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-26 12:00:00+00:00,2021-10-26 16:00:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-14 08:15:00+00:00,2021-10-14 10:15:00+00:00,RT-Salle-TD2,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-14 12:30:00+00:00,2022-01-14 16:30:00+00:00,RT-Labo Telecoms 2,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Sources de données,2022-01-25 07:15:00+00:00,2022-01-25 09:15:00+00:00,RT-Salle-TD2,"

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-24 06:15:00+00:00,2021-09-24 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-04 09:15:00+00:00,2022-01-04 11:15:00+00:00,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
LINUX,2022-02-11 12:30:00+00:00,2022-02-11 16:15:00+00:00,RT-Labo Informatique 3,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-09-27 06:15:00+00:00,2021-09-27 08:15:00+00:00,RT-Salle-TD1,"

TDFourier
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs SM,2021-10-19 12:00:00+00:00,2021-10-19 14:00:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-24 06:15:00+00:00,2021-09-24 10:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-08 14:00:00+00:00,2021-09-08 16:00:00+00:00,"RT-Labo Informatique 1,RT-Labo Informatique 2","

TDBell
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-10-15 11:30:00+00:00,2021-10-15 14:30:00+00:00,RT-Labo Electronique 1,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-03 09:15:00+00:00,2022-01-03 11:15:00+00:00,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-05 07:15:00+00:00,2022-01-05 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-12-16 12:30:00+00:00,2021-12-16 16:30:00+00:00,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Applications informatiques,2021-11-17 07:15:00+00:00,2021-11-17 11:15:00+00:00,RT-Labo Informatique 2,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-11-25 07:15:00+00:00,2021-11-25 09:15:00+00:00,"RT-Labo Informatique 1,TEAMS","

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-27 12:00:00+00:00,2021-10-27 16:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-12-06 07:15:00+00:00,2021-12-06 11:15:00+00:00,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-08 13:00:00+00:00,2022-02-08 15:00:00+00:00,RT-Amphi,"

TDBell
TDFourier
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-09-17 06:15:00+00:00,2021-09-17 08:15:00+00:00,RT-Labo Informatique 1,"

TDBell
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
BDD : ADMINISTRATION,2021-12-17 07:15:00+00:00,2021-12-17 11:00:00+00:00,RT-Labo Informatique 1,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-28 08:15:00+00:00,2021-09-28 10:15:00+00:00,"RT-Labo Informatique 3,RT-Labo Informatique 2","

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Gestion d'annuaires unifiés,2021-11-12 12:30:00+00:00,2021-11-12 16:30:00+00:00,RT-Labo Informatique 2,"

RT2Hamming
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-06 09:15:00+00:00,2022-01-06 11:15:00+00:00,RT-Labo Informatique 2,"

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-09-23 08:15:00+00:00,2021-09-23 10:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-15 11:30:00+00:00,2021-10-15 15:30:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-03 09:15:00+00:00,2022-02-03 11:15:00+00:00,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
CM Cryptographie,2021-12-13 07:15:00+00:00,2021-12-13 09:15:00+00:00,RT-Salle-TD1,"

LP-CyberSécurité
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs MR,2022-01-10 13:00:00+00:00,2022-01-10 17:00:00+00:00,RT-Labo reseaux 1,"

RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-11-24 13:00:00+00:00,2021-11-24 15:00:00+00:00,RT-Salle-TD1,"

RT1Huffman
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-12-09 07:15:00+00:00,2021-12-09 09:15:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-09-17 06:15:00+00:00,2021-09-17 10:15:00+00:00,BIBLIOTHEQUE UNIVERSITAIRE OU TEAMS,"

RT1Turing
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-11-18 14:30:00+00:00,2021-11-18 16:30:00+00:00,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-20 06:15:00+00:00,2021-09-20 08:15:00+00:00,RT-Salle-TD3,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
EXAMEN CISCO,2021-09-20 15:00:00+00:00,2021-09-20 16:00:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Anglais général,2021-09-30 13:30:00+00:00,2021-09-30 15:30:00+00:00,RT-Labo Informatique 2,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-07 06:15:00+00:00,2021-10-07 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-11-08 08:15:00+00:00,2021-11-08 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-04 12:00:00+00:00,2021-10-04 14:00:00+00:00,"RT-Amphi,RT-Salle-TD2,RT-Salle-TD1","

RT1-S1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-29 13:00:00+00:00,2021-11-29 16:00:00+00:00,RT-Labo Electronique 1,"

RT1Turing
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2022-01-04 09:15:00+00:00,2022-01-04 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-13 12:30:00+00:00,2022-01-13 14:30:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-15 07:15:00+00:00,2021-09-15 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-07 09:15:00+00:00,2021-12-07 10:45:00+00:00,RT-Salle-TD2,"

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-01-25 09:15:00+00:00,2022-01-25 11:15:00+00:00,RT-Amphi,"

RT1-S2
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-16 07:15:00+00:00,2022-02-16 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-14 07:15:00+00:00,2022-01-14 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Anglais général,2021-09-30 08:15:00+00:00,2021-09-30 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-01-27 09:15:00+00:00,2022-01-27 11:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs PKT,2021-11-15 15:00:00+00:00,2021-11-15 17:00:00+00:00,"RT-Labo Informatique 2,RT-Labo reseaux 1","

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-09-16 06:15:00+00:00,2021-09-16 08:15:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-11 12:30:00+00:00,2022-02-11 16:30:00+00:00,RT-Labo reseaux 1,"

RT1Shannon2
RT1Shannon1
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-01 06:15:00+00:00,2021-10-01 08:15:00+00:00,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-18 12:30:00+00:00,2022-02-18 16:30:00+00:00,RT-Labo reseaux 1,"

RT1Turing
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Systèmes et stockage virtualisés,2021-12-16 12:30:00+00:00,2021-12-16 16:15:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-20 14:00:00+00:00,2021-10-20 16:00:00+00:00,RT-Salle-TD2,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-12 12:30:00+00:00,2022-01-12 14:30:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
